date,game,draw_numbers,draw_euros
2026-05-26,eurojackpot,5-11-23-33-42,10-12
2026-05-27,lotto6aus49,16-26-30-41-44-47,
2026-05-29,eurojackpot,3-20-21-42-49,5-6
2026-05-30,lotto6aus49,3-10-14-27-41-48,
2026-06-02,eurojackpot,2-36-38-40-46,7-8
2026-06-03,lotto6aus49,4-6-24-26-41-44,
2026-06-05,eurojackpot,21-23-44-47-50,1-7
2026-06-06,lotto6aus49,8-16-17-23-30-32,
2026-06-09,eurojackpot,1-14-22-39-48,8-11
2026-06-10,lotto6aus49,11-15-16-28-39-42,
2026-06-12,eurojackpot,2-4-14-18-28,9-11
2026-06-13,lotto6aus49,4-13-16-20-24-43,
2026-06-16,eurojackpot,9-26-29-37-42,1-7
2026-06-17,lotto6aus49,3-4-20-26-27-39,
2026-06-19,eurojackpot,16-27-37-42-45,5-12
2026-06-20,lotto6aus49,2-8-13-15-27-35,
2026-06-23,eurojackpot,24-27-43-48-50,4-12
2026-06-24,lotto6aus49,25-36-40-43-44-49,
2026-06-26,eurojackpot,17-25-35-39-41,5-9
2026-06-27,lotto6aus49,26-32-35-39-47-49,
2026-06-30,eurojackpot,12-19-34-44-50,3-8
